osmid,x,y
25388116,12.4629569,41.9023653
25388118,12.4648844,41.9007319
25388119,12.4665261,41.899504
25388120,12.4682661,41.8981764
25388123,12.4874196,41.8931313
25388130,12.4788676,41.9046697
25388135,12.4634563,41.901815
25388138,12.4642534,41.8997896
25388146,12.4665105,41.9012133
25388157,12.4625957,41.8996836
25388160,12.4638186,41.9015342
25388161,12.4669763,41.8991587
25388162,12.4648301,41.8998365
25388168,12.4722828,41.899188
25388169,12.4722458,41.8998027
25388174,12.467407,41.9005531
25388175,12.4667282,41.9012216
25388176,12.4660746,41.8984841
25388177,12.4666911,41.8986561
25388179,12.4652611,41.9004539
25388181,12.4658852,41.9000249
25388182,12.4666328,41.9001457
25388184,12.4684567,41.8991995
25388186,12.4692417,41.8991305
25388187,12.4695763,41.8988839
25388189,12.471596,41.8980201
25388191,12.4699653,41.8985383
25388192,12.4722018,41.8977238
25388195,12.4727063,41.8971861
25388197,12.4733201,41.8966629
25388198,12.470083,41.897481
25388200,12.469375,41.8976474
25388256,12.4678088,41.8985211
25388259,12.4669717,41.8975097
25388260,12.4676135,41.8968207
25388261,12.4680257,41.8973594
25388262,12.4685882,41.8972997
25388263,12.4691615,41.8972576
25388273,12.4701976,41.9004784
25388275,12.4713247,41.9004738
25388279,12.4685087,41.8996385
25388282,12.4665719,41.9005427
25388283,12.4653091,41.8993185
25388284,12.4674291,41.8977784
25388285,12.4670868,41.8981174
25388286,12.4722498,41.8999531
25388289,12.4726864,41.9004415
25388375,12.4734106,41.9004498
25388377,12.473814,41.9002227
25388379,12.4738664,41.8991474
25388387,12.4744851,41.8964807
25388389,12.4758502,41.8963102
25388404,12.4740314,41.8965258
25388406,12.4863964,41.8936384
25388407,12.4904813,41.890141
25388408,12.4885191,41.8906913
25388409,12.4885765,41.8908818
25388416,12.4919333,41.8894097
25388424,12.4847309,41.893011
25418716,12.4750898,41.9049233
25418882,12.4952304,41.902029
25418884,12.494543,41.9015887
25418885,12.4938275,41.9011203
25418886,12.4930978,41.9006435
25418887,12.492499,41.9002394
25418888,12.491662,41.8996964
25418889,12.4903418,41.8988284
25418891,12.4900226,41.8986141
25418895,12.4880626,41.8973291
25418897,12.4870163,41.8966625
25418911,12.4865373,41.9020905
25418915,12.4998175,41.9008288
25418916,12.4992668,41.9003165
25418918,12.4980573,41.8992075
25418919,12.4974872,41.8986723
25418922,12.4960073,41.8973743
25418929,12.4932459,41.8946669
25418933,12.4878737,41.8933059
25419073,12.4822238,41.8966841
25419086,12.4797832,41.9024786
25419095,12.4785973,41.9053403
25419097,12.4783652,41.9059069
25419840,12.4686787,41.8947883
25419842,12.4712895,41.892722
25419843,12.4721781,41.8921179
25643495,12.5123286,41.8998199
25643607,12.5082356,41.9005342
25643610,12.5079782,41.9010124
25643612,12.5074754,41.9019368
25643620,12.5070116,41.9027733
25643633,12.5068628,41.9038297
25643643,12.5054854,41.9062237
25643645,12.5046647,41.908063
26496101,12.3877738,41.8862126
26496616,12.4145024,41.8928224
26617509,12.6011423,41.8653294
26617536,12.5864253,41.8687602
26617554,12.5713183,41.8735063
26618020,12.5521472,41.8771131
26618050,12.5453277,41.8788979
26618108,12.526805,41.8868306
26618754,12.5154927,41.8922274
26618757,12.5148666,41.8922332
26618764,12.5159993,41.8919212
26619072,12.5132546,41.8928151
26619081,12.5108331,41.8942817
26619712,12.5108116,41.8966779
26619713,12.5103133,41.8971524
32628901,12.4262515,41.8904844
32629232,12.4397928,41.8958953
32629238,12.4525272,41.8997945
32629239,12.4551817,41.9002263
32629374,12.4259768,41.9014704
32629608,12.4731808,41.8977903
32629776,12.4725344,41.8962536
32629781,12.4727361,41.8954124
32630063,12.4878998,41.8835838
32630066,12.4822503,41.8871939
32630067,12.4835467,41.8862051
32630095,12.4266952,41.8908144
32630101,12.4410178,41.8898919
32630102,12.4428332,41.8916979
32630103,12.4444369,41.8915572
32630104,12.4433114,41.8922686
32630106,12.4416883,41.893462
32630107,12.4421518,41.893788
32630112,12.4451863,41.8957774
32630155,12.4511977,41.8997661
32630156,12.4507201,41.9004799
32630162,12.4514196,41.8988966
32630947,12.481922,41.8966132
32630948,12.4826655,41.8962217
32630949,12.4835075,41.8954624
32630950,12.4824151,41.8955257
32630952,12.4820658,41.8949093
32630955,12.4819427,41.8941367
32630956,12.4815223,41.8940422
32630957,12.4813623,41.8941577
32630959,12.4810368,41.8948337
32630961,12.4817439,41.8952991
32631112,12.4831012,41.9060668
32631118,12.4793833,41.8991472
32631120,12.4771959,41.8990055
32631122,12.47658,41.9011702
32632109,12.474241,41.8942664
32632112,12.4744767,41.8903415
32633041,12.477426,41.8948629
32633043,12.480126,41.8949571
32633045,12.4807742,41.8944846
32633399,12.4985377,41.9019611
32633401,12.4965781,41.9027182
32633402,12.4960043,41.9035759
32633403,12.4956409,41.9038935
32633413,12.4969811,41.8994139
32633500,12.4930657,41.8927801
32633502,12.4916712,41.8919126
32641629,12.4967969,41.9046262
32641631,12.4942491,41.904441
32641632,12.4930555,41.9051133
32641633,12.4909766,41.9058649
32641634,12.4903508,41.9054754
32641635,12.4902461,41.9053978
32641636,12.4897186,41.9049804
32641638,12.4887383,41.9041693
32641643,12.4886363,41.9057822
32641644,12.4901881,41.906392
32641647,12.4892955,41.9081361
32641648,12.4885391,41.9091524
32641649,12.4885435,41.9092624
32641650,12.4885886,41.9093843
32641653,12.4899476,41.9096557
32641659,12.4859995,41.9116435
32641664,12.4803127,41.9137646
32642810,12.4476328,41.905348
32642813,12.4441278,41.9033895
32642817,12.4398089,41.9020076
32642825,12.4277252,41.8985816
32649902,12.4677471,41.8919983
32649904,12.4682913,41.8910001
32649905,12.4689986,41.8901893
32649906,12.4691963,41.8897431
32649911,12.4742053,41.8894636
32649913,12.4747471,41.8902862
32649914,12.4746604,41.8894163
32649915,12.4759117,41.8893139
32649919,12.4748657,41.8940681
32649920,12.4752487,41.8939299
32649924,12.4754622,41.893326
32649927,12.4750248,41.8946395
32649929,12.4743315,41.8946581
32650014,12.4703803,41.8879394
32650149,12.4811693,41.8880042
32650153,12.4785456,41.8913436
32650154,12.4755279,41.8918221
32650157,12.479418,41.8906622
32650160,12.4801859,41.8895083
32650161,12.4766553,41.8897332
32650370,12.4748794,41.8882907
32650377,12.4755381,41.8888976
32650381,12.4805457,41.8908966
32650394,12.4842436,41.8904027
32650397,12.4842009,41.8917781
32650399,12.4852465,41.8915148
32650401,12.4855579,41.8920078
32650405,12.4832606,41.8881857
32650408,12.4859059,41.8922983
32650539,12.4790707,41.9136143
32650585,12.4828423,41.8996171
32650586,12.4824498,41.9004805
32650590,12.4825947,41.9026259
32650608,12.4799168,41.9062479
32650609,12.4812079,41.9065435
32650951,12.4775826,41.889422
32651016,12.4881602,41.9034322
32651021,12.4994301,41.8977043
32653248,12.4770032,41.9051335
32653252,12.4771668,41.9064863
32653256,12.4780884,41.9065412
35527738,12.386577,41.9007843
35527906,12.3885397,41.8988933
38225836,12.4557316,41.8060045
38225979,12.4724659,41.8364533
38226087,12.4945076,41.8673458
38226122,12.4904658,41.868625
38296156,12.387454,41.9137028
38296174,12.3884087,41.9139703
38296189,12.3885551,41.9139417
38296236,12.3920938,41.9183048
38296257,12.3940375,41.9186517
38296267,12.3942962,41.9189002
38296351,12.3964158,41.9200674
38296363,12.3967174,41.9202958
38296379,12.3978104,41.9208316
38296394,12.4016216,41.9237496
38296406,12.4065198,41.9246278
38296436,12.4075668,41.923834
38296447,12.4119034,41.9229674
38296451,12.4122753,41.9233488
38296506,12.4209639,41.9272549
38296524,12.4228498,41.9262953
38296583,12.4211439,41.9324861
38296596,12.4209234,41.93333
38296612,12.4202992,41.9343515
38296623,12.4231458,41.9366445
38296638,12.4202896,41.9391842
38296746,12.4236443,41.9401842
38296757,12.4223564,41.9391692
38362656,12.4238325,41.9394535
38362762,12.4263289,41.9313614
38362778,12.4264523,41.926914
38362788,12.4261346,41.9259484
38362845,12.4227557,41.9196194
38362865,12.4225085,41.9160273
38362895,12.4234102,41.9124192
38362908,12.4248119,41.9094176
38362935,12.4253564,41.9074825
38362942,12.4253249,41.9056124
38362954,12.4248827,41.9048762
38363010,12.429378,41.8948842
38363139,12.4391898,41.8902971
38363189,12.4404613,41.8878938
38363202,12.440316,41.883389
38363290,12.4426784,41.8770275
38363536,12.4673625,41.8725906
38363614,12.4675291,41.8709277
38363621,12.4736205,41.8722737
38363645,12.4846826,41.8716326
38363655,12.4843643,41.8690957
51231991,12.4939955,41.8899577
51231993,12.49344,41.8892664
60071945,12.4663956,41.9025126
72843570,12.5472253,41.8956147
72843572,12.5477772,41.8934883
83506907,12.4818345,41.8937621
83506908,12.4826551,41.8934512
83511436,12.4804499,41.8886438
83647719,12.4807189,41.8950514
83648548,12.4774828,41.8917755
83648632,12.4774743,41.8928914
83648849,12.4768582,41.893133
83649142,12.478477,41.8920769
83649294,12.4774514,41.8923658
83649295,12.4765508,41.8926914
83649359,12.4764901,41.8918777
83649810,12.4757207,41.8936331
83649959,12.4766617,41.8928995
83650212,12.4755558,41.8922203
83650213,12.4756621,41.8926495
83650214,12.4751286,41.8928491
83650350,12.4763227,41.8921753
83650446,12.4748732,41.8923732
83650615,12.4717498,41.8930686
83650757,12.4738907,41.8920876
83652542,12.4820868,41.8895115
83652543,12.482004,41.8906639
83652544,12.4824202,41.8911492
83656610,12.4589196,41.9060495
83656611,12.4684349,41.9053936
83656707,12.4612995,41.9064126
83656709,12.4675447,41.9068931
83656746,12.4645959,41.906135
83656747,12.4679175,41.9062519
83660660,12.462152,41.9058467
83661864,12.4732515,41.9072608
83661869,12.473333,41.9050467
83662578,12.47055,41.9065541
83662690,12.4709752,41.9087029
83662880,12.4721388,41.9058518
83662881,12.4713107,41.9059074
83662882,12.4707319,41.9057889
83663054,12.4720382,41.9051237
